sample_id,timestamp,latitude,longitude,x_meters,y_meters,temperature_celsius
1,2025-10-06T12:16:22.505254,33.430426000000004,-111.92881898337524,0.001546,0.000000,9.030
2,2025-10-06T12:16:30.004015,33.43044375704767,-111.92880585399547,1.217974,1.996393,9.409
3,2025-10-06T12:16:32.004122,33.43046701519966,-111.9288068941254,1.125859,4.566198,8.988
4,2025-10-06T12:16:33.504240,33.43048657010338,-111.92880772875709,1.047994,6.724348,8.339
5,2025-10-06T12:16:35.004410,33.43050747214717,-111.92880844175029,0.982403,9.018165,9.027
6,2025-10-06T12:16:36.504648,33.430528373618294,-111.92880919437712,0.911741,11.361412,9.170
7,2025-10-06T12:16:38.004183,33.430549563578296,-111.92880995433676,0.840524,13.730840,9.278
8,2025-10-06T12:16:39.504399,33.430571269201415,-111.92881072853405,0.769262,16.113033,8.918
9,2025-10-06T12:16:41.004192,33.43059256736715,-111.92881149164275,0.698482,18.469019,9.565
10,2025-10-06T12:16:42.504261,33.430613951756726,-111.92881225580125,0.626840,20.860073,9.646
11,2025-10-06T12:16:44.004223,33.430635291784924,-111.92881301946848,0.555053,23.252604,9.956
12,2025-10-06T12:16:45.504734,33.430657097902134,-111.92881379927954,0.483294,25.645783,9.983
13,2025-10-06T12:16:47.004215,33.430678504991576,-111.92881456505201,0.412458,28.007459,10.664
14,2025-10-06T12:16:48.504367,33.43069985597562,-111.92881532872048,0.340670,30.401211,10.791
15,2025-10-06T12:16:50.004081,33.43072166803797,-111.92881610892238,0.268875,32.795037,10.771
16,2025-10-06T12:16:51.504354,33.430743077733,-111.92881687471545,0.197081,35.188918,11.087
17,2025-10-06T12:16:53.004290,33.430764430012495,-111.92881763846245,0.125285,37.582815,11.291
18,2025-10-06T12:16:54.504240,33.43078433602052,-111.92881835045571,0.060703,39.736263,11.781
19,2025-10-06T12:16:56.504357,33.43080226078065,-111.92881859719816,0.038705,41.744694,12.178
20,2025-10-06T12:16:59.504230,33.43081064782314,-111.92879647036818,2.102203,42.662180,11.765
21,2025-10-06T12:17:02.004581,33.430806250341135,-111.92877443248706,4.156250,42.172454,11.490
22,2025-10-06T12:17:04.504119,33.430786214794864,-111.92876358392454,5.153245,39.949686,12.041
23,2025-10-06T12:17:06.504072,33.430762469655825,-111.92876360341376,5.152679,37.286308,11.292
24,2025-10-06T12:17:08.004197,33.43074225310384,-111.92876385877872,5.128485,35.096508,11.361
25,2025-10-06T12:17:09.504014,33.4307215945913,-111.9287639126493,5.123220,32.786892,10.651
26,2025-10-06T12:17:11.004283,33.43070061808181,-111.92876402717663,5.112419,30.434982,10.334
27,2025-10-06T12:17:12.504168,33.43067898618477,-111.92876413552337,5.102495,28.060834,10.287
28,2025-10-06T12:17:14.004436,33.4306576562939,-111.92876424163052,5.092542,25.675852,9.624
29,2025-10-06T12:17:15.504205,33.430636340733464,-111.92876434963243,5.082532,23.317913,9.176
30,2025-10-06T12:17:17.004268,33.4306145404542,-111.92876445855627,5.072510,20.925378,8.950
31,2025-10-06T12:17:18.504322,33.43059313153921,-111.92876456634873,5.062405,18.531586,9.053
32,2025-10-06T12:17:20.004107,33.43057177527394,-111.92876467346808,5.052337,16.137239,9.277
33,2025-10-06T12:17:21.504480,33.43054995530832,-111.92876478311389,5.042383,13.774475,8.801
34,2025-10-06T12:17:23.004155,33.43052853711027,-111.92876489065169,5.032302,11.379644,8.884
35,2025-10-06T12:17:24.504071,33.430507175921164,-111.92876499794227,5.022217,8.984748,8.862
36,2025-10-06T12:17:26.004239,33.4304853536941,-111.92876510753167,5.012134,6.589807,9.173
37,2025-10-06T12:17:27.504111,33.43046551222338,-111.92876520724836,5.002793,4.372567,9.301
38,2025-10-06T12:17:29.504080,33.43044582442131,-111.92876490025121,5.032569,2.189447,9.153
39,2025-10-06T12:17:31.504561,33.4304307218182,-111.92875008649257,6.404937,0.524645,9.634
40,2025-10-06T12:17:34.004029,33.43042758531498,-111.9287256362827,8.700583,0.172539,10.286
41,2025-10-06T12:17:36.504161,33.430435910550976,-111.92870240741975,10.841595,1.091626,10.535
42,2025-10-06T12:17:38.504166,33.43045602734046,-111.9287040908718,10.686798,3.346156,10.108
43,2025-10-06T12:17:40.004682,33.430474880514474,-111.92870373148581,10.720329,5.415968,10.169
44,2025-10-06T12:17:41.504241,33.43049481038188,-111.92870448859796,10.649422,7.650631,10.014
45,2025-10-06T12:17:43.004106,33.43051552001447,-111.92870485372744,10.615714,9.935664,9.668
46,2025-10-06T12:17:44.504371,33.43053697763204,-111.92870538822127,10.566494,12.290529,9.555
47,2025-10-06T12:17:46.004209,33.43055816841305,-111.92870586329437,10.521810,14.666271,9.457
48,2025-10-06T12:17:47.504325,33.43057949974014,-111.92870635974248,10.475261,17.051428,9.071
49,2025-10-06T12:17:49.004035,33.430600815550285,-111.92870685012616,10.429780,19.409404,8.955
50,2025-10-06T12:17:50.504369,33.43062261412388,-111.92870735328557,10.383475,21.801756,8.596
51,2025-10-06T12:17:52.004763,33.43064401965853,-111.92870784697283,10.337188,24.195172,8.807
52,2025-10-06T12:17:53.504177,33.43066537271656,-111.92870833951443,10.290884,26.589160,9.236
53,2025-10-06T12:17:55.004014,33.430687189037265,-111.92870884275943,10.244573,28.983455,9.259
54,2025-10-06T12:17:56.504180,33.43070860343953,-111.92870933671279,10.198879,31.345937,9.657
55,2025-10-06T12:17:58.004098,33.43072996092232,-111.92870982936658,10.152565,33.740417,10.327
56,2025-10-06T12:17:59.504357,33.430751779280854,-111.92871033264397,10.106251,36.134934,10.747
57,2025-10-06T12:18:01.004160,33.43077306532409,-111.92871082352161,10.060243,38.514178,11.261
58,2025-10-06T12:18:03.004249,33.43079475082207,-111.92871132420039,10.013806,40.912861,11.919
59,2025-10-06T12:18:05.504419,33.43081221624036,-111.92870217884844,10.868109,42.839526,12.303
60,2025-10-06T12:18:08.004326,33.43080844192959,-111.92867888483819,13.027832,42.420428,11.873
61,2025-10-06T12:18:10.504134,33.43079953679368,-111.92865728092596,15.042097,41.428393,11.296
62,2025-10-06T12:18:12.504142,33.430779485830406,-111.92865680230192,15.083877,39.177067,10.488
63,2025-10-06T12:18:14.004174,33.430760670640595,-111.92865617891528,15.142707,37.115388,9.576
64,2025-10-06T12:18:15.504509,33.43074078838543,-111.92865648183931,15.114142,34.885410,9.648
65,2025-10-06T12:18:17.004182,33.43072014838969,-111.92865650544145,15.112266,32.601546,9.068
66,2025-10-06T12:18:18.504119,33.43069864182796,-111.92865662399028,15.101290,30.247329,9.061
67,2025-10-06T12:18:20.004020,33.43067745496597,-111.92865671618003,15.092625,27.871949,9.168
68,2025-10-06T12:18:21.504123,33.43065617816723,-111.9286568147032,15.083345,25.486434,8.895
69,2025-10-06T12:18:23.004096,33.43063434291929,-111.92865691535197,15.074123,23.096327,9.343
70,2025-10-06T12:18:24.504076,33.430613001367504,-111.92865701327517,15.065043,20.735529,9.899
71,2025-10-06T12:18:26.004167,33.43059164951279,-111.92865711165146,15.055799,18.341675,10.135
72,2025-10-06T12:18:27.504263,33.43056977481745,-111.9286572121686,15.046577,15.947290,10.323
73,2025-10-06T12:18:29.004377,33.430548415231,-111.92865731045542,15.037342,13.552573,10.134
74,2025-10-06T12:18:30.504274,33.430527054531446,-111.92865740867887,15.028235,11.189663,10.416
75,2025-10-06T12:18:32.004257,33.43050517507171,-111.9286575093212,15.019002,8.794760,10.799
76,2025-10-06T12:18:33.504181,33.430483813422,-111.9286576075672,15.009770,6.399813,11.046
77,2025-10-06T12:18:35.004578,33.430464360093175,-111.92865769705968,15.001388,4.225527,10.681
78,2025-10-06T12:18:37.004297,33.43044418348101,-111.92865701587924,15.066713,2.007359,10.642
79,2025-10-06T12:18:39.004125,33.430430665714645,-111.92864088671222,16.573262,0.516144,10.899
80,2025-10-06T12:18:41.504354,33.430427421070696,-111.92861638089526,18.843995,0.157641,11.026
81,2025-10-06T12:18:44.004239,33.4304371453139,-111.92859466075242,20.867067,1.263620,11.236
82,2025-10-06T12:18:46.004073,33.430458102218076,-111.9285965349273,20.689483,3.550215,11.390
83,2025-10-06T12:18:47.504341,33.43047676225087,-111.92859626090056,20.714842,5.642146,11.700
84,2025-10-06T12:18:49.004043,33.4304967862386,-111.92859700340408,20.645503,7.888209,12.036
85,2025-10-06T12:18:50.504290,33.43051799053146,-111.92859738144458,20.610838,10.209717,11.743
86,2025-10-06T12:18:52.004440,33.430539021167775,-111.92859790858192,20.561932,12.536153,11.815
87,2025-10-06T12:18:53.504269,33.43056022318486,-111.92859838264094,20.517350,14.913261,11.997
88,2025-10-06T12:18:55.004166,33.43058201892924,-111.92859889099394,20.470679,17.299028,11.760
89,2025-10-06T12:18:56.504585,33.43060333825594,-111.92859938113033,20.424597,19.689237,11.375
90,2025-10-06T12:18:58.004125,33.430624678161294,-111.9285998741741,20.378242,22.081764,10.917
91,2025-10-06T12:18:59.504188,33.43064654468097,-111.92860037861573,20.332559,24.443342,10.908
92,2025-10-06T12:19:01.004506,33.43066789818108,-111.92860087143454,20.286227,26.837374,10.303
93,2025-10-06T12:19:02.504412,33.43068925415637,-111.92860136425826,20.239894,29.231686,10.370
94,2025-10-06T12:19:04.004165,33.43071112915641,-111.92860186906572,20.193559,31.626102,10.741
95,2025-10-06T12:19:05.504505,33.43073248669422,-111.92860236193454,20.147222,34.020588,10.146
96,2025-10-06T12:19:07.004455,33.43075384451888,-111.92860285480725,20.101503,36.383179,10.567
97,2025-10-06T12:19:08.504044,33.43077543501553,-111.92860335288951,20.055774,38.747019,11.232
98,2025-10-06T12:19:10.504392,33.43079630477186,-111.9286038303181,20.010996,41.085089,11.895
99,2025-10-06T12:19:13.004068,33.43081238610637,-111.9285925368698,21.046815,42.855806,12.859
100,2025-10-06T12:19:15.504206,33.430808143671996,-111.92856982607711,23.182814,42.385332,14.447
101,2025-10-06T12:19:18.004057,33.43079789927372,-111.92854809685724,25.195865,41.246580,15.541
102,2025-10-06T12:19:20.004049,33.43077730749485,-111.9285484999464,25.156953,38.961260,14.369
103,2025-10-06T12:19:21.504586,33.43075868432849,-111.92854787023391,25.215536,36.877618,14.236
104,2025-10-06T12:19:23.004219,33.430738264628786,-111.92854826754086,25.178587,34.635938,14.056
105,2025-10-06T12:19:24.504263,33.43071756982721,-111.92854831865468,25.173739,32.315514,13.514
106,2025-10-06T12:19:26.004593,33.43069649051829,-111.92854849758443,25.157118,29.989784,13.781
107,2025-10-06T12:19:27.504449,33.43067483348688,-111.92854864022353,25.144015,27.612963,13.819
108,2025-10-06T12:19:29.004080,33.43065355073315,-111.92854879279757,25.129684,25.226865,14.349
109,2025-10-06T12:19:30.504196,33.43063217220089,-111.92854894252069,25.115658,22.836439,13.982
110,2025-10-06T12:19:32.004393,33.43061036905514,-111.92854909597803,25.101540,20.443577,14.821
111,2025-10-06T12:19:33.504254,33.430589016749124,-111.92854924619529,25.087614,18.081596,14.944
112,2025-10-06T12:19:35.004147,33.43056760237563,-111.92854939678806,25.073501,15.687190,15.404
113,2025-10-06T12:19:36.504220,33.43054578223605,-111.92854955030087,25.059381,13.292477,15.228
114,2025-10-06T12:19:38.004757,33.430524421681746,-111.92854970053956,25.045264,10.897653,14.700
115,2025-10-06T12:19:39.504459,33.43050300299835,-111.92854985120952,25.031145,8.502766,13.461
116,2025-10-06T12:19:41.004427,33.43048118400863,-111.92855000469937,25.017215,6.140042,12.629
117,2025-10-06T12:19:42.504496,33.43046238978203,-111.92855013680413,25.004794,4.031656,12.619
118,2025-10-06T12:19:44.504106,33.430442665549336,-111.92854913756591,25.105046,1.820151,12.530
119,2025-10-06T12:19:46.504140,33.430430283214555,-111.92853158893793,26.717352,0.476689,13.074
120,2025-10-06T12:19:49.004048,33.43042720420977,-111.92850762454081,28.974020,0.131630,14.144
121,2025-10-06T12:19:51.504243,33.430438581173775,-111.9284870661048,30.870665,1.403541,16.586
122,2025-10-06T12:19:53.504298,33.43045963233123,-111.92848896435167,30.694317,3.741167,16.965
123,2025-10-06T12:19:55.004036,33.43047893430338,-111.92848882694902,30.707368,5.853834,18.380
124,2025-10-06T12:19:56.504784,33.430499065253294,-111.92848952589888,30.641656,8.110467,20.098
125,2025-10-06T12:19:58.004276,33.43051981252496,-111.9284899053932,30.605799,10.436876,22.778
126,2025-10-06T12:19:59.504176,33.430541377370574,-111.92849044147387,30.556581,12.797526,25.091
127,2025-10-06T12:20:01.004695,33.43056259194915,-111.92849091593452,30.512571,15.144258,25.916
128,2025-10-06T12:20:02.504477,33.43058387675099,-111.92849141233971,30.465903,17.530601,24.989
129,2025-10-06T12:20:04.004688,33.43060525618345,-111.92849190338026,30.419859,19.921134,23.142
130,2025-10-06T12:20:05.504515,33.4306270575679,-111.92849240685912,30.373519,22.313803,21.785
131,2025-10-06T12:20:07.004734,33.4306484068152,-111.9284928989758,30.327868,24.675448,20.109
132,2025-10-06T12:20:08.504212,33.43066981820827,-111.92849339283332,30.281560,27.069521,19.937
133,2025-10-06T12:20:10.004326,33.43069163483663,-111.92849389594456,30.235256,29.463848,19.553
134,2025-10-06T12:20:11.504545,33.43071299182305,-111.92849438848111,30.188948,31.858273,20.182
135,2025-10-06T12:20:13.004134,33.43073440697608,-111.92849488235358,30.142639,34.252765,19.949
136,2025-10-06T12:20:14.504087,33.430756225365535,-111.92849538552584,30.096947,36.615358,20.266
137,2025-10-06T12:20:16.004328,33.430777129300544,-111.92849586743469,30.051653,38.958202,20.362
138,2025-10-06T12:20:18.004110,33.43079740106243,-111.92849631840443,30.009867,41.221556,22.056
139,2025-10-06T12:20:20.504315,33.43081253157604,-111.92848394932012,31.160267,42.873529,24.677
140,2025-10-06T12:20:23.004600,33.43080798752339,-111.92846121826614,33.268298,42.370480,26.431
141,2025-10-06T12:20:25.504087,33.43079677210088,-111.92844099424879,35.159073,41.109381,27.192
142,2025-10-06T12:20:27.504524,33.4307754237851,-111.92844177822502,35.082383,38.752279,25.300
143,2025-10-06T12:20:29.004520,33.43075660206479,-111.92844114072108,35.141599,36.675779,24.459
144,2025-10-06T12:20:30.504182,33.43073651628399,-111.92844149100114,35.108919,34.423661,23.123
145,2025-10-06T12:20:32.004185,33.430715330492106,-111.92844148612384,35.109473,32.098407,23.211
146,2025-10-06T12:20:33.504477,33.43069422585421,-111.92844161765363,35.097176,29.738611,23.555
147,2025-10-06T12:20:35.004465,33.43067301394045,-111.9284417012981,35.089436,27.392108,23.111
148,2025-10-06T12:20:36.504266,33.43065172643452,-111.92844180173834,35.080001,25.005433,23.403
149,2025-10-06T12:20:38.004390,33.4306298851221,-111.92844189942535,35.071050,22.614683,24.900
150,2025-10-06T12:20:39.504275,33.43060854057118,-111.92844199646571,35.061936,20.221646,26.906
151,2025-10-06T12:20:41.004263,33.4305871875472,-111.92844209310083,35.052982,17.859580,29.397
152,2025-10-06T12:20:42.504380,33.43056531207172,-111.9284421921875,35.043897,15.465112,31.372
153,2025-10-06T12:20:44.004096,33.43054395213336,-111.92844228893942,35.034810,13.070357,31.431
154,2025-10-06T12:20:45.504299,33.43052259130827,-111.92844238568074,35.025725,10.675502,27.473
155,2025-10-06T12:20:47.004769,33.43050071173762,-111.92844248478451,35.016638,8.280586,24.351
156,2025-10-06T12:20:48.504128,33.43047936833529,-111.92844258149813,35.007676,5.919596,22.044
157,2025-10-06T12:20:50.004362,33.430461064345444,-111.92844266420495,34.999924,3.871241,21.486
158,2025-10-06T12:20:52.004127,33.43044086648345,-111.92844092081167,35.163782,1.644401,20.768
159,2025-10-06T12:20:54.004244,33.43043021125644,-111.92842239837364,36.909471,0.464556,21.647
160,2025-10-06T12:20:56.504174,33.430426997335815,-111.92839795117277,39.154296,0.111033,22.604
161,2025-10-06T12:20:59.004081,33.430439907049404,-111.92837929401156,40.892189,1.563072,22.974
162,2025-10-06T12:21:01.004606,33.43046175712508,-111.92838116169686,40.720245,3.977039,23.386
163,2025-10-06T12:21:02.504398,33.43048082982558,-111.92838120158574,40.716131,6.081724,23.016
164,2025-10-06T12:21:04.004195,33.430501038861046,-111.9283818645206,40.654136,8.347880,24.719
165,2025-10-06T12:21:05.504447,33.4305222740949,-111.92838228408422,40.615437,10.678657,24.758
166,2025-10-06T12:21:07.004212,33.430543407186825,-111.928382816444,40.565553,13.041694,25.704
167,2025-10-06T12:21:08.504226,33.43056463057541,-111.92838330421495,40.520289,15.389486,26.175
168,2025-10-06T12:21:10.004349,33.430586378958935,-111.92838382323932,40.472514,17.776326,25.615
169,2025-10-06T12:21:11.504076,33.430607761243245,-111.92838432625439,40.425345,20.167136,24.421
170,2025-10-06T12:21:13.004170,33.43062910339123,-111.92838483111555,40.377876,22.559905,23.749
171,2025-10-06T12:21:14.504047,33.43065091337332,-111.92838534599026,40.330488,24.953508,23.190
172,2025-10-06T12:21:16.004299,33.43067232495517,-111.928385851828,40.283687,27.315678,23.699
173,2025-10-06T12:21:17.504253,33.430693680996804,-111.92838635622715,40.236261,29.709997,23.399
174,2025-10-06T12:21:19.004411,33.43071549838384,-111.92838687156485,40.188829,32.104407,23.780
175,2025-10-06T12:21:20.504612,33.43073691338972,-111.92838737738563,40.141398,34.498882,24.696
176,2025-10-06T12:21:22.004335,33.430758271047175,-111.92838788185583,40.094598,36.861454,26.630
177,2025-10-06T12:21:23.504199,33.43077932910611,-111.92838837908005,40.048799,39.174308,28.102
178,2025-10-06T12:21:25.504450,33.43079879861834,-111.92838878923708,40.010425,41.357657,30.113
179,2025-10-06T12:21:28.504339,33.43081175523706,-111.92837032406,41.731129,42.786370,31.676
180,2025-10-06T12:21:31.004077,33.430807274639605,-111.92834863419134,43.751760,42.288925,32.920
